Ид сделки;External ID;Синтаксис компании
4319;__export__.crm_lead_BXDeal_4319;__export__.res_partner_BXCompany_
4359;__export__.crm_lead_BXDeal_4359;__export__.res_partner_BXCompany_
4317;__export__.crm_lead_BXDeal_4317;__export__.res_partner_BXCompany_
4353;__export__.crm_lead_BXDeal_4353;__export__.res_partner_BXCompany_
4355;__export__.crm_lead_BXDeal_4355;__export__.res_partner_BXCompany_
4351;__export__.crm_lead_BXDeal_4351;__export__.res_partner_BXCompany_
4349;__export__.crm_lead_BXDeal_4349;__export__.res_partner_BXCompany_
4347;__export__.crm_lead_BXDeal_4347;__export__.res_partner_BXCompany_
4345;__export__.crm_lead_BXDeal_4345;__export__.res_partner_BXCompany_
4343;__export__.crm_lead_BXDeal_4343;__export__.res_partner_BXCompany_
4339;__export__.crm_lead_BXDeal_4339;__export__.res_partner_BXCompany_
4337;__export__.crm_lead_BXDeal_4337;__export__.res_partner_BXCompany_
4335;__export__.crm_lead_BXDeal_4335;__export__.res_partner_BXCompany_
4333;__export__.crm_lead_BXDeal_4333;__export__.res_partner_BXCompany_
4331;__export__.crm_lead_BXDeal_4331;__export__.res_partner_BXCompany_
4329;__export__.crm_lead_BXDeal_4329;__export__.res_partner_BXCompany_
4327;__export__.crm_lead_BXDeal_4327;__export__.res_partner_BXCompany_
4307;__export__.crm_lead_BXDeal_4307;__export__.res_partner_BXCompany_
4305;__export__.crm_lead_BXDeal_4305;__export__.res_partner_BXCompany_
4301;__export__.crm_lead_BXDeal_4301;__export__.res_partner_BXCompany_
4299;__export__.crm_lead_BXDeal_4299;__export__.res_partner_BXCompany_
4297;__export__.crm_lead_BXDeal_4297;__export__.res_partner_BXCompany_
9288;__export__.crm_lead_BXDeal_9288;__export__.res_partner_BXCompany_
9088;__export__.crm_lead_BXDeal_9088;__export__.res_partner_BXCompany_
9168;__export__.crm_lead_BXDeal_9168;__export__.res_partner_BXCompany_
9184;__export__.crm_lead_BXDeal_9184;__export__.res_partner_BXCompany_
4471;__export__.crm_lead_BXDeal_4471;__export__.res_partner_BXCompany_
9058;__export__.crm_lead_BXDeal_9058;__export__.res_partner_BXCompany_
9078;__export__.crm_lead_BXDeal_9078;__export__.res_partner_BXCompany_
8934;__export__.crm_lead_BXDeal_8934;__export__.res_partner_BXCompany_
8918;__export__.crm_lead_BXDeal_8918;__export__.res_partner_BXCompany_
9258;__export__.crm_lead_BXDeal_9258;__export__.res_partner_BXCompany_
8908;__export__.crm_lead_BXDeal_8908;__export__.res_partner_BXCompany_
9084;__export__.crm_lead_BXDeal_9084;__export__.res_partner_BXCompany_
9284;__export__.crm_lead_BXDeal_9284;__export__.res_partner_BXCompany_
8602;__export__.crm_lead_BXDeal_8602;__export__.res_partner_BXCompany_
5389;__export__.crm_lead_BXDeal_5389;__export__.res_partner_BXCompany_
9096;__export__.crm_lead_BXDeal_9096;__export__.res_partner_BXCompany_
8562;__export__.crm_lead_BXDeal_8562;__export__.res_partner_BXCompany_
7237;__export__.crm_lead_BXDeal_7237;__export__.res_partner_BXCompany_
8852;__export__.crm_lead_BXDeal_8852;__export__.res_partner_BXCompany_
9068;__export__.crm_lead_BXDeal_9068;__export__.res_partner_BXCompany_
8160;__export__.crm_lead_BXDeal_8160;__export__.res_partner_BXCompany_
9030;__export__.crm_lead_BXDeal_9030;__export__.res_partner_BXCompany_
8926;__export__.crm_lead_BXDeal_8926;__export__.res_partner_BXCompany_
9092;__export__.crm_lead_BXDeal_9092;__export__.res_partner_BXCompany_
4497;__export__.crm_lead_BXDeal_4497;__export__.res_partner_BXCompany_
9182;__export__.crm_lead_BXDeal_9182;__export__.res_partner_BXCompany_
7483;__export__.crm_lead_BXDeal_7483;__export__.res_partner_BXCompany_
4495;__export__.crm_lead_BXDeal_4495;__export__.res_partner_BXCompany_
8832;__export__.crm_lead_BXDeal_8832;__export__.res_partner_BXCompany_
7941;__export__.crm_lead_BXDeal_7941;__export__.res_partner_BXCompany_
8938;__export__.crm_lead_BXDeal_8938;__export__.res_partner_BXCompany_
8922;__export__.crm_lead_BXDeal_8922;__export__.res_partner_BXCompany_
9278;__export__.crm_lead_BXDeal_9278;__export__.res_partner_BXCompany_
7767;__export__.crm_lead_BXDeal_7767;__export__.res_partner_BXCompany_
8894;__export__.crm_lead_BXDeal_8894;__export__.res_partner_BXCompany_
